Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","404","Kenya","5611","Import Quantity","F2511","Wheat and products","2018","2018","1000 t","1816","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5611","Import Quantity","F2511","Wheat and products","2019","2019","1000 t","2029","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5611","Import Quantity","F2511","Wheat and products","2020","2020","1000 t","1924","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5911","Export Quantity","F2511","Wheat and products","2010","2010","1000 t","11","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5911","Export Quantity","F2511","Wheat and products","2011","2011","1000 t","5","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5911","Export Quantity","F2511","Wheat and products","2012","2012","1000 t","5","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5911","Export Quantity","F2511","Wheat and products","2013","2013","1000 t","17","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5911","Export Quantity","F2511","Wheat and products","2014","2014","1000 t","8","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5911","Export Quantity","F2511","Wheat and products","2015","2015","1000 t","17","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5911","Export Quantity","F2511","Wheat and products","2016","2016","1000 t","3","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5911","Export Quantity","F2511","Wheat and products","2017","2017","1000 t","29","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5911","Export Quantity","F2511","Wheat and products","2018","2018","1000 t","18","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5911","Export Quantity","F2511","Wheat and products","2019","2019","1000 t","10","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5911","Export Quantity","F2511","Wheat and products","2020","2020","1000 t","5","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5301","Domestic supply quantity","F2511","Wheat and products","2010","2010","1000 t","1783","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5301","Domestic supply quantity","F2511","Wheat and products","2011","2011","1000 t","1593","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5301","Domestic supply quantity","F2511","Wheat and products","2012","2012","1000 t","1744","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5301","Domestic supply quantity","F2511","Wheat and products","2013","2013","1000 t","1429","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5301","Domestic supply quantity","F2511","Wheat and products","2014","2014","1000 t","1852","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5301","Domestic supply quantity","F2511","Wheat and products","2015","2015","1000 t","1763","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5301","Domestic supply quantity","F2511","Wheat and products","2016","2016","1000 t","1839","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5301","Domestic supply quantity","F2511","Wheat and products","2017","2017","1000 t","2055","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5301","Domestic supply quantity","F2511","Wheat and products","2018","2018","1000 t","2104","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5301","Domestic supply quantity","F2511","Wheat and products","2019","2019","1000 t","2194","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5301","Domestic supply quantity","F2511","Wheat and products","2020","2020","1000 t","2224","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5170","Residuals","F2511","Wheat and products","2010","2010","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5170","Residuals","F2511","Wheat and products","2011","2011","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5170","Residuals","F2511","Wheat and products","2012","2012","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5170","Residuals","F2511","Wheat and products","2013","2013","1000 t","-1","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5170","Residuals","F2511","Wheat and products","2014","2014","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5170","Residuals","F2511","Wheat and products","2015","2015","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5170","Residuals","F2511","Wheat and products","2016","2016","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5170","Residuals","F2511","Wheat and products","2017","2017","1000 t","-1","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5170","Residuals","F2511","Wheat and products","2018","2018","1000 t","-1","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5170","Residuals","F2511","Wheat and products","2019","2019","1000 t","-1","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5170","Residuals","F2511","Wheat and products","2020","2020","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5142","Food","F2511","Wheat and products","2010","2010","1000 t","1667","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5142","Food","F2511","Wheat and products","2011","2011","1000 t","1491","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5142","Food","F2511","Wheat and products","2012","2012","1000 t","1549","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5142","Food","F2511","Wheat and products","2013","2013","1000 t","1338","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5142","Food","F2511","Wheat and products","2014","2014","1000 t","1729","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5142","Food","F2511","Wheat and products","2015","2015","1000 t","1653","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5142","Food","F2511","Wheat and products","2016","2016","1000 t","1723","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5142","Food","F2511","Wheat and products","2017","2017","1000 t","1923","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5142","Food","F2511","Wheat and products","2018","2018","1000 t","1971","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5142","Food","F2511","Wheat and products","2019","2019","1000 t","2029","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","5142","Food","F2511","Wheat and products","2020","2020","1000 t","2113","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","661","Food supply (kcal)","F2511","Wheat and products","2010","2010","million Kcal","4595531","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","661","Food supply (kcal)","F2511","Wheat and products","2011","2011","million Kcal","4065151","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","661","Food supply (kcal)","F2511","Wheat and products","2012","2012","million Kcal","4172785","I","Imputed value"
"FBS","Food Balances (2010-)","404","Kenya","661","Food supply (kcal)","F2511","Wheat and products","2013","2013","million Kcal","3645938","I","Imputed value"
